Inputs/input,Success
binary_uint8_q1_c1_t1_z1_x11_y10,True
binary_uint8_q1_c1_z1_t12_x11_y10,True
binary_uint8_q1_c3_t13_z12_x11_y10,True
binary_uint8_q1_s1_t13_z12_x11_y10,True
binary_uint8_q1_s1_z1_t12_x11_y10,True
binary_uint8_q1_s5_t13_z12_x11_y10,True
binary_uint8_q1_t1_c3_z12_x11_y10,True
binary_uint8_q1_t1_s1_z12_x11_y10,True
binary_uint8_q1_t1_s1_z1_x11_y10,True
binary_uint8_q1_t1_s5_z12_x11_y10,True
binary_uint8_q1_t1_z1_c3_x11_y10,True
binary_uint8_q1_t1_z1_s5_x11_y10,True
binary_uint8_q1_z1_c3_t12_x11_y10,True
binary_uint8_q1_z1_s5_t12_x11_y10,True
binary_uint8_s1_q14_t13_z12_x11_y10,True
binary_uint8_s1_z1_q13_t12_x11_y10,True
binary_uint8_s5_q12_x11_y10,True
binary_uint8_s5_q13_t12_x11_y10,True
binary_uint8_s5_q13_z12_x11_y10,True
binary_uint8_s5_q14_t13_z12_x11_y10,True
binary_uint8_s5_t12_x11_y10,True
binary_uint8_s5_t13_z12_x11_y10,True
binary_uint8_s5_x11_y10,True
binary_uint8_s5_z12_x11_y10,True
binary_uint8_t12_x11_y10,True
binary_uint8_t13_z12_x11_y10,True
binary_uint8_t1_c3_q13_z12_x11_y10,True
binary_uint8_t1_s1_q13_z12_x11_y10,True
binary_uint8_t1_s1_z1_q12_x11_y10,True
binary_uint8_t1_s5_q13_z12_x11_y10,True
binary_uint8_t1_z1_c3_q12_x11_y10,True
binary_float16_y10_x11,False
binary_float16_y10_x11_c3,False
binary_float16_y10_x11_s5,False
binary_float16_y10_x11_t12,False
binary_float16_y10_x11_t12_c3,False
binary_float16_y10_x11_t12_s5,False
binary_float16_y10_x11_z12,False
binary_float16_y10_x11_z12_c3,False
binary_float16_y10_x11_z12_s5,False
binary_float16_y10_x11_z12_t13,False
binary_float16_y10_x11_z12_t13_c3,False
binary_float16_y10_x11_z12_t13_s5,False
binary_float32_y10_x11,False
binary_float32_y10_x11_c3,False
binary_float32_y10_x11_s5,False
binary_float32_y10_x11_t12,False
binary_float32_y10_x11_t12_c3,False
binary_float32_y10_x11_t12_s5,False
binary_float32_y10_x11_z12,False
binary_float32_y10_x11_z12_c3,False
binary_float32_y10_x11_z12_s5,False
binary_float32_y10_x11_z12_t13,False
binary_float32_y10_x11_z12_t13_c3,False
binary_float32_y10_x11_z12_t13_s5,False
binary_multiseries1,True
binary_multiseries2,False
binary_uint16_y10_x11,True
binary_uint16_y10_x11_c3,True
binary_uint16_y10_x11_s5,True
binary_uint16_y10_x11_t12,True
binary_uint16_y10_x11_t12_c3,False
binary_uint16_y10_x11_t12_s5,True
binary_uint16_y10_x11_z12,True
binary_uint16_y10_x11_z12_c3,False
binary_uint16_y10_x11_z12_s5,True
binary_uint16_y10_x11_z12_t13,True
binary_uint16_y10_x11_z12_t13_c3,False
binary_uint16_y10_x11_z12_t13_s5,True
binary_uint8_c1_q14_t13_z12_x11_y10,True
binary_uint8_c1_t1_q13_z12_x11_y10,True
binary_uint8_c1_t1_z1_q12_x11_y10,True
binary_uint8_c1_z1_q13_t12_x11_y10,True
binary_uint8_c3_q12_x11_y10,True
binary_uint8_c3_q13_t12_x11_y10,True
binary_uint8_c3_q13_z12_x11_y10,True
binary_uint8_c3_q14_t13_z12_x11_y10,True
binary_uint8_c3_t12_x11_y10,True
binary_uint8_c3_t13_z12_x11_y10,True
binary_uint8_c3_x11_y10,True
binary_uint8_c3_z12_x11_y10,True
binary_uint8_q12_x11_y10,True
binary_uint8_q13_t12_x11_y10,True
binary_uint8_q13_z12_x11_y10,True
binary_uint8_q14_t13_z12_x11_y10,True
binary_uint8_q1_c1_t13_z12_x11_y10,True
binary_uint8_q1_c1_t1_z12_x11_y10,True
binary_uint8_t1_z1_s5_q12_x11_y10,True
binary_uint8_x11_y10,True
binary_uint8_y10_x11,True
binary_uint8_y10_x11_c3,True
binary_uint8_y10_x11_s5,True
binary_uint8_y10_x11_t12,True
binary_uint8_y10_x11_t12_c3,False
binary_uint8_y10_x11_t12_s5,True
binary_uint8_y10_x11_z12,True
binary_uint8_y10_x11_z12_c3,False
binary_uint8_y10_x11_z12_s5,True
binary_uint8_y10_x11_z12_t13,True
binary_uint8_y10_x11_z12_t13_c3,False
binary_uint8_y10_x11_z12_t13_s5,True
binary_uint8_z12_x11_y10,True
binary_uint8_z1_c3_q13_t12_x11_y10,True
binary_uint8_z1_s5_q13_t12_x11_y10,True
